Category,Name,Description,Values,Default value
Application Programming Interfaces,add_java_class_path,"Prepends the option value on the java environment variable, CLASSPATH, used to find classes in J-Link programs. To specify multiple search paths in the same line, delimit them using ':' on UNIX, and ';' on Windows NT.",,
Application Programming Interfaces,enable_protk_xml_schema,Enables XML-Schema validation for Pro/TK feature XMLs,"yes, no",no
Application Programming Interfaces,jlink_java2,"Option to force use of Java-2 JRE command line (""java"" instead of ""jre"")","off, on",on
Application Programming Interfaces,prodevdat,Specify the full path to an additional Toolkit registry file.,,
Application Programming Interfaces,protkdat,Specify the full path to an additional Toolkit registry file.,,
Application Programming Interfaces,toolkit_registry_file,Specify the full path to an additional Toolkit registry file.,,
Application Programming Interfaces,web_disable_js_command,Enter a specific javascript command to be disabled,,
Application Programming Interfaces,web_link_file_read,Sets Pro/Web.Link permission to read data from the local file system.,"yes, no",no
Application Programming Interfaces,web_link_file_write,Sets Pro/Web.Link permission to write data to the local file system.,"yes, no",no
Application Programming Interfaces,web_link_proe_read,Sets Pro/Web.Link permission to read data from a Creo session.,"yes, no",no
Application Programming Interfaces,web_link_proe_write,Sets Pro/Web.Link permission to modify data in a Creo session.,"yes, no",no
Application Programming Interfaces,web_link_security_autoprompt,Yes - The Security dialog box is displayed when a Pro/Web.Link function requires security access beyond the current settings.,"yes, no",yes
Assembly,add_merge_ent_to_rulbased_layer,Should merge feature put copied items in target model on layer driven by rule.,"yes, no",yes
Assembly,add_offset_to_constraint_comp,Adds an offset dimensions to constraints that were created without an offset during the dragging of a component.,"yes, no",no
Assembly,advanced_intersection,Control the appearance of the intersection tool and scope of available functionalities.,"yes, no",no
Assembly,allow_freeze_failed_assy_comp,Allow freezing failed assembly components.,"yes, no",no
Assembly,allow_package_children,Sets what type of children packaged components can have. ALL - Features and components can be a children of packaged component. FEAT - Only features can be children of packaged components. NONE - Packaged components cannot have children.,"all, feat, none",all
Assembly,allow_redo_intersections,Yes - Displays the ReIntersect command in the ASSY FEAT menu.,"yes, no",no
Assembly,allow_save_as_instance,Allows the option to save a copy of the active model as a family table instance.,"yes, no",no
Assembly,allow_save_failed_model,Yes - Failed models can be saved. No - Failed models cannot be saved. Prompt - Let the user decide whether failed models can be saved.,"yes, no, prompt",prompt
Assembly,allow_update_part_simp_rep_data,Allow updating part Simplified Rep data in session automatically when switching from one Simp Rep to another.  Yes - Allow updating part simplified rep data. No - Do not update part simplified rep data. Prompt - Prompt the user if the current simplified rep should be updated.,"yes, no, prompt",yes
Assembly,auto_assembly_with_notebooks,Yes - Enables automatic assembly. No - Disables automatic assembly.,"yes, no",yes
